Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
citroën ami (2020) (fwd) >14 ans (2020),N/D,45 km/h,"0,82€ @ 1,8kW","1,09 €",6 000 €,"5,8kWh "," 5,35kWh",12 ch , 9 kW , 40 Nm,471 kg , ? , ?,75,"78,6 Wh/km",,,,
lightyear one (2022) (awd),10 sec.,150 km/h,"8,85€ @ 22kW","1,18 €",149 000 €,60kWh , 60kWh,136 ch , 100 kW , 1200 Nm,1300 kg ,"0,2","0,46",725,83 Wh/km,875-505 km,69-119 Wh/km,565-405 km,106-148 Wh/km
renault twingo electric (rwd) (2020),"12,6 sec.",135 km/h,"3,14€ @ 22kW","1,65 €",15 350 - 20 450 €,23 kWh ," 21,3 kWh",82 ch , 60 kW , 160 Nm,1208kg,"0,33"," 0,72",190,"112,1 Wh/km",205-135 km,104-158 Wh/km,120-90 km,178-237 Wh/km
tesla model 3 - std range+ (nca) (rwd)(2019),"5,6 sec.",225 km/h,"7,52€@11kW / 12,24€ (SUC)","1,67€/2,73€ (SUC)",43 800 €,54kWh , 51kWh,325 ch , 239 kW , 420 Nm,1700kg,"0,23","0,52",448,"113,8 Wh/km",515-330 km,99-155 Wh/km,330-250 km,155-204 Wh/km
fiat 500e hatchback 42 kwh (fwd) (2020),9 sec.,150 km/h,"6,2€ @ 11kW","1,93 €",23 990 - 28900 €,42 kWh ," 37,3 kWh",118 ch , 87 kW , 220 Nm,1465kg,"0,31","0,65",320,"116,5 Wh/km",375-240 km,99-155 Wh/km,225-175 km,175-230 Wh/km
Tesla Modèle 3,"5,6 sec.",225 km/h,"7,75€@11kW / 12,6€ (SUC)","1,73€/2,81€ (SUC)",41 600 €,55kWh ," 52,5kWh",325 ch , 239 kW , 420 Nm,1825kg,"0,23","0,52",448,"117,2 Wh/km",510-330 km,103-159 Wh/km,330-250 km,159-210 Wh/km
tesla model 3 - long range (rwd) (2019),"4,6 sec.",225 km/h,"10,7€@11kW / 17,4€ (SUC)","1,91€/3,1€ (SUC)",51 800 €,75kWh ," 72,5kWh",283 ch , 211 kW , 410 Nm,1847kg,"0,23","0,52",600,"120,8 Wh/km",720-465 km,103-159 Wh/km,465-350 km,159-211 Wh/km
Dacia Spring,15 sec.,125 km/h,"4,04€ @ 22kW","1,76 €",11 800 - 13400 €,"26,8kWh "," 26,8kWh",45 ch , 33 kW , 125 Nm,950kg,"0,29","0,67",225,119 Wh/km,265-170 km,101-158 Wh/km,150-115 km,179-233 Wh/km
renault zoé r240 (fwd) (2015),"13,5 sec.",135 km/h,"3,25€ @ 22kW","1,80 €",16 000 € (Loc.bat),26kWh , 22 kWh,88 ch , 65 kW , 220 Nm,1468kg,"0,33","0,75",180,"122,2 Wh/km",,,,
bmw i3 120ah (rwd) (2018/2019),"7,3 sec.",150 km/h,"5,59€ @ 11kW","1,80 €",33 950 – 39 550 €,"42,2 kWh "," 37,9 kWh",170 ch , 125 kW , 250 Nm,1345kg,"0,29","0,69",308,123 Wh/km,365-235 km,104-161 Wh/km,215-165 km,176-230 Wh/km
Hyundai Ioniq Électrique,"9,7 sec.",165 km/h,"5,88€ @ 7,2kW","1,89 €",29 850 €,"40,4 kWh "," 38,3 kWh",136 ch , 100 kW , 295 Nm,1602kg,"0,24","0,54",311,"123,1 Wh/km",365-235 km,105-163 Wh/km,230-175 km,167-219 Wh/km
mini cooper se (fwd) (2020),"7,3 sec.",150 km/h,"4,26€ @ 11kW","1,83 €",26 900 - 34 800 €,"32,6kWh "," 28,9kWh",184 ch , 135 kW , 270 Nm,1440kg,"0,27","0,59",,,280-180 km,103-161 Wh/km,170-130 km,170-222 Wh/km
seat mii electrique (fwd) (2020),"12,3 sec.",130 km/h,"4,96€ @ 7,2kW","1,91 €",15 920 - 17070 €,"36,8 kWh "," 32,3 kWh",83 ch , 61 kW , 212 Nm,1235kg,"0,32","0,67",259,"124,7 Wh/km",300-200 km,108-162 Wh/km,175-135 km,185-239 Wh/km
