Car Name,Acceleration 0 à 100(Sec),Max Speed (km/h),Cargo Volume (Dm3),Battery (kWh),Autonomie (km)
Ami (8 ch),0Sec.,45km/h,0Dm3,5.5kWh,70km
C-Zero (67 ch),15.9Sec.,130km/h,166Dm3,14.5kWh,100km
Spring (45 ch),19.1Sec.,125km/h,270Dm3,26.8kWh,230km
Spring (65 ch),13.7Sec.,125km/h,270Dm3,26.8kWh,220km
500e (95 ch),9.5Sec.,135km/h,185Dm3,21.3kWh,190km
500e (118 ch),9Sec.,150km/h,185Dm3,37.3kWh,321km
T03 (109 ch),12Sec.,130km/h,210Dm3,41.3kWh,417km
Leaf (109 ch),11.5Sec.,144km/h,370Dm3,22kWh,199km (NEDC)
Ion (67 ch),15.9Sec.,130km/h,166Dm3,14.5kWh,100km
,0 à 100,V max,Coffre,Bat.kWh,Autonomie
Twingo III (82 ch),12.9Sec.,135km/h,240Dm3,22kWh,190km
Zoe (88 ch),13.5Sec.,135km/h,338Dm3,22kWh,210km (NEDC)
Zoe (77 ch),15.5Sec.,135km/h,338Dm3,41kWh,400km (NEDC)
Zoe (88 ch),13.2Sec.,135km/h,338Dm3,41kWh,300km
Zoe (92 ch),13.2Sec.,135km/h,338Dm3,41kWh,317km
Zoe (108 ch),11.4Sec.,135km/h,338Dm3,41kWh,300km
Mii EV (83 ch),12.3Sec.,130km/h,251Dm3,32.3kWh,258km
Fortwo (82 ch),11.5Sec.,130km/h,260Dm3,17.6kWh,135km
E-Up! (82 ch),12.4Sec.,130km/h,250Dm3,18.7kWh,160km (NEDC)
E-Up! 2.0 (83 ch),11.9Sec.,130km/h,251Dm3,32.3kWh,258km
U5 (204 ch),7.8Sec.,160km/h,432Dm3,63kWh,410km
I3 (170 ch),7.2Sec.,150km/h,260Dm3,18.8kWh,190km (NEDC)
I3 (170 ch),7.3Sec.,150km/h,260Dm3,27.2kWh,260km
I3 (170 ch),7.3Sec.,150km/h,260Dm3,37.9kWh,305km
E-Berlingo (136 ch),11.2Sec.,130km/h,597Dm3,46kWh,280km
E-Berlingo (136 ch),11.2Sec.,130km/h,850Dm3,46kWh,274km
Ë-C4 (136 ch),10Sec.,150km/h,380Dm3,46kWh,350km
Ë-C4 (156 ch),9.3Sec.,150km/h,380Dm3,50.8kWh,420km
,0 à 100,V max,Coffre,Bat.kWh,Autonomie
DS3 Crossback (136 ch),8.7Sec.,150km/h,350Dm3,46kWh,320km
600e (156 ch),9Sec.,150km/h,360Dm3,50.8kWh,409km
Honda-e (136 ch),9Sec.,145km/h,171Dm3,28.5kWh,222km
Honda-e (154 ch),8.3Sec.,145km/h,171Dm3,28.5kWh,210km
Ioniq (120 ch),9.9Sec.,165km/h,350Dm3,28kWh,280km (NEDC)
Ioniq (136 ch),9.9Sec.,165km/h,357Dm3,38.3kWh,311km
Kona (136 ch),9.7Sec.,155km/h,332Dm3,39.2kWh,289km
Kona (136 ch),9.9Sec.,155km/h,332Dm3,39.2kWh,305km
Kona (204 ch),7.9Sec.,167km/h,332Dm3,64kWh,484km
Avenger (156 ch),9Sec.,150km/h,355Dm3,50.8kWh,392km
,0 à 100,V max,Coffre,Bat.kWh,Autonomie
E-Niro (136 ch),9.8Sec.,155km/h,451Dm3,39.2kWh,289km
