Modèle,Longueur (mm),Largeur (mm),Prix (euros) min,Prix (euros) max,Accélération de 0 à 100 km/h (s) min,Accélération de 0 à 100 km/h (s) max,Puissance de la batterie (kWh) min,Puissance de la batterie (kWh) max,Vitesse maximale (km/h) min,Vitesse maximale (km/h) max,Autonomie (km) min,Autonomie (km) max,Poids (kg) min,Poids (kg) max
Volkswagen e-Up!,3595,1641,20000.0,30000.0,9.9,9.9,32.0,32.0,130.0,130.0,260.0,260.0,1100.0,1100.0
Fiat 500e,3555,1627,30000.0,,9.1,9.1,24.0,24.0,150.0,150.0,200.0,200.0,1150.0,1150.0
Citroën e-Méhari,3495,1660,22000.0,,,,30.0,30.0,110.0,110.0,200.0,200.0,1065.0,1065.0
DS3 Crossback E-tense,4118,1791,40000.0,,8.7,8.7,50.0,50.0,150.0,150.0,430.0,430.0,1170.0,1170.0
Dacia Spring,3715,1625,20000.0,,19.1,19.1,26.0,36.0,125.0,125.0,155.0,300.0,970.0,970.0
Honda e,3945,1755,33500.0,,8.3,8.3,35.5,35.5,145.0,145.0,220.0,220.0,1320.0,1320.0
Nissan LEAF II,4480,1820,32000.0,,7.9,7.9,40.0,40.0,150.0,150.0,385.0,385.0,1590.0,1590.0
Renault Zoé,4085,1730,35000.0,,9.5,9.5,52.0,52.0,140.0,140.0,395.0,395.0,1502.0,1502.0
Opel Corsa-e,4050,1800,29000.0,,7.6,7.6,50.0,50.0,150.0,150.0,330.0,330.0,1365.0,1365.0
Peugeot e-208,4055,1745,33000.0,,8.1,8.1,46.0,46.0,150.0,150.0,400.0,400.0,1455.0,1455.0
Renault e-Mégane,4479,1814,30000.0,40000.0,8.7,8.7,50.0,50.0,140.0,140.0,450.0,450.0,1600.0,1600.0
Volkswagen e-Golf,4284,1799,30000.0,40000.0,8.5,8.5,35.0,58.0,140.0,140.0,200.0,300.0,1500.0,1500.0
Mercedes-Benz EQB,4523,1849,54000.0,,7.9,7.9,66.0,66.0,160.0,160.0,440.0,440.0,1895.0,1895.0
Lexus UX 300e,4495,1795,45000.0,,8.1,8.1,54.0,54.0,160.0,160.0,300.0,300.0,1790.0,1790.0
Kia e-Niro,4375,1805,46000.0,,7.8,7.8,64.0,64.0,167.0,167.0,450.0,450.0,1645.0,1645.0
Volvo XC40 Recharge,4449,2003,47000.0,,,,78.0,78.0,180.0,180.0,400.0,400.0,2140.0,2140.0
Hyundai Kona,4180,1800,32000.0,,6.7,6.7,39.0,39.0,167.0,167.0,480.0,480.0,1680.0,1680.0
Nio EC6,4750,1920,37000.0,,,,72.0,72.0,200.0,200.0,430.0,430.0,2050.0,2050.0
Hongqi E-HS3,4550,1850,,,,,,,,,,,,
Peugeot e-2008,4300,1800,32000.0,,8.1,8.1,50.0,50.0,150.0,150.0,310.0,310.0,1580.0,1580.0
BMW iX3,4734,1891,76000.0,,6.6,6.6,80.0,80.0,180.0,180.0,,,2255.0,2255.0
Volkswagen e-Lavida,4732,1829,30000.0,40000.0,,,50.0,50.0,,,450.0,450.0,1700.0,1700.0
Tesla Modèle 3,4694,1864,40000.0,70000.0,3.4,4.4,50.0,75.0,225.0,250.0,460.0,647.0,1800.0,2100.0
Honda Clarity électrique,4880,1855,,,6.9,6.9,25.5,25.5,145.0,145.0,220.0,220.0,1830.0,1830.0
IM L7 Elite,5098,1960,46000.0,,6.6,6.6,90.0,90.0,200.0,200.0,675.0,675.0,2165.0,2165.0
Audi e-tron Quattro,4902,1986,80000.0,100000.0,6.6,6.6,95.0,116.0,200.0,200.0,408.0,446.0,2480.0,2710.0
XpengP7,4964,1959,50000.0,60000.0,3.3,3.3,72.0,82.0,250.0,250.0,615.0,653.0,2000.0,2000.0
Tesla Model S,5062,1964,80000.0,120000.0,2.3,3.8,75.0,100.0,250.0,265.0,647.0,837.0,2100.0,2300.0
Volkswagen e-Tharu,4488,1839,30000.0,50000.0,,,52.0,82.0,,,400.0,550.0,1800.0,2000.0
